word,language,meaning,pronunciation
"秘书","zh","Secretary","mìshū"
"先","zh","First / In advance","xiān"
"介绍","zh","To introduce","jièshào"
"一下儿","zh","A bit / Briefly / (Used after a verb)","yíxiàr"
"校长","zh","Principal / President / Headmaster","xiàozhǎng"
"位","zh","(Polite measure word for people)","wèi"
"教授","zh","Professor","jiàoshòu"
"欢迎","zh","To welcome","huānyíng"
"留学生","zh","International student / Foreign student","liúxuéshēng"
"留学","zh","To study abroad","liúxué"
"我们","zh","We / Us","wǒmen"
"你们","zh","You (plural)","nǐmen"
"他们","zh","They / Them","tāmen"
"都","zh","Both / All","dōu"
"和","zh","And / With","hé"
"俩","zh","Two / Both (usually for people)","liǎ"
"学生","zh","Student","xuésheng"
"没什么","zh","It's nothing / Doesn't matter / You're welcome","méi shénme"
