word,language,meaning,pronunciation
"经理","zh","Manager","jīnglǐ"
"好久","zh","A long time","hǎojiǔ"
"啊","zh","(Modal particle)","ā"
"马马虎虎","zh","So-so / Mediocre","mǎmǎhūhū"
"最近","zh","Recently / Lately","zuìjìn"
"刚","zh","Just","gāng"
"开学","zh","Term begins / School starts","kāixué"
"开","zh","To open / To start / To drive","kāi"
"有一点儿","zh","A little bit","yǒu yìdiǎnr"
"还是","zh","Or (in a question) / Still","háishì"
"杯","zh","Cup / (Measure word for cups)","bēi"
"车","zh","Vehicle / Car","chē"
"自行车","zh","Bicycle","zìxíngchē"
"汽车","zh","Automobile / Car","qìchē"
"摩托车","zh","Motorcycle","mótuōchē"
"出租车","zh","Taxi","chūzūchē"
"颜色","zh","Color","yánsè"
"蓝","zh","Blue","lán"
"辆","zh","(Measure word for vehicles)","liàng"
