word,language,meaning,pronunciation
"询问","zh","To ask / To inquire","qǐngwèn"
"问","zh","To ask","wèn"
"贵姓","zh","Honorable surname","guìxìng"
"姓","zh","Surname / To be surnamed","xìng"
"叫","zh","To be called / To call","jiào"
"什么","zh","What","shénme"
"名字","zh","Name","míngzi"
"哪","zh","Which","nǎ"
"国","zh","Country / Nation","guó"
"人","zh","Person / People","rén"
"认识","zh","To know / To recognize","rènshi"
"高兴","zh","Happy / Glad","gāoxìng"
"也","zh","Also / Too","yě"
"学习","zh","To study / To learn","xuéxí"
"发音","zh","Pronunciation","fāyīn"
"书","zh","Book","shū"
"文","zh","Language / Script","wén"
"谁","zh","Who","shéi/shuí"
"的","zh","(Possessive particle)","de"
"那","zh","That","nà"
"杂志","zh","Magazine","zázhì"
"朋友","zh","Friend","péngyou"
"麦克","zh","Mike","Màikè"
"张东","zh","Zhang Dong","Zhāng Dōng"
"张","zh","Zhang (a surname)","Zhāng"
"中国","zh","China","Zhōngguó"
"美国","zh","United States","Měiguó"
"泰国","zh","Thailand","Tàiguó"
"德国","zh","Germany","Déguó"
"俄罗斯","zh","Russia","Éluósī"
"法国","zh","France","Fǎguó"
"韩国","zh","South Korea","Hánguó"
"日本","zh","Japan","Rìběn"
"英国","zh","United Kingdom","Yīngguó"
"汉字","zh","Chinese character","Hànzì"
"中文","zh","Chinese language","Zhōngwén"
"泰文","zh","Thai language","Tàiwén"
"阿拉伯文","zh","Arabic language","Ālābówén"
"德文","zh","German language","Déwén"
"俄文","zh","Russian language","Éwén"
"法文","zh","French language","Fǎwén"
"韩文","zh","Korean language","Hánwén"
"日文","zh","Japanese language","Rìwén"
"西班牙文","zh","Spanish language","Xībānyáwén"
"英文","zh","English language","Yīngwén"
