word,language,meaning,pronunciation
"今天","zh","Today","jīntiān"
"昨天","zh","Yesterday","zuótiān"
"星期","zh","Week","xīngqī"
"星期一","zh","Monday","xīngqīyī"
"星期二","zh","Tuesday","xīngqī'èr"
"星期三","zh","Wednesday","xīngqīsān"
"星期四","zh","Thursday","xīngqīsì"
"星期五","zh","Friday","xīngqīwǔ"
"星期六","zh","Saturday","xīngqīliù"
"星期日","zh","Sunday","xīngqīrì"
"星期天","zh","Sunday (informal)","xīngqītiān"
"几","zh","How many / Which (day/month)","jǐ"
"二","zh","Two","èr"
"三","zh","Three","sān"
"四","zh","Four","sì"
"那儿","zh","There","nàr"
"哪儿","zh","Where","nǎr"
"我","zh","I / Me","wǒ"
"回","zh","To return / To go back","huí"
"学校","zh","School","xuéxiào"
"再见","zh","Goodbye","zàijiàn"
"对不起","zh","I'm sorry / Sorry","duìbuqǐ"
"没关系","zh","It doesn't matter / That's okay","méi guānxi"
