word,language,meaning,pronunciation
"姐姐","zh","Older sister","jiějie"
"全","zh","All / Whole / Entirely","quán"
"照片","zh","Photo / Picture","zhàopiàn"
"张","zh","(Measure word for flat objects/photos/paper)","zhāng"
"看","zh","To look / To watch / To read","kàn"
"只","zh","Only / Just","zhǐ"
"做","zh","To do / To make","zuò"
"大夫","zh","Doctor","dàifu"
"医院","zh","Hospital","yīyuàn"
"公司","zh","Company / Corporation","gōngsī"
"商店","zh","Shop / Store","shāngdiàn"
"律师","zh","Lawyer","lǜshī"
"外贸","zh","Foreign trade","wàimào"
"小","zh","Small / Little","xiǎo"
"员工","zh","Employee / Staff","yuángōng"
"大概","zh","About / Approximately / Probably","dàgài"
"多","zh","More than / Over (used after a number)","duō"
"外国","zh","Foreign country","wàiguó"
