word,language,meaning,pronunciation
"学","zh","To study / To learn","xué"
"去","zh","To go","qù"
"对","zh","Correct / Right","duì"
"邮局","zh","Post office","yóujú"
"寄","zh","To mail / To send","jì"
"信","zh","Letter / Mail","xìn"
"银行","zh","Bank","yínháng"
"取","zh","To fetch / To get / To withdraw","qǔ"
"钱","zh","Money","qián"
"明天","zh","Tomorrow","míngtiān"
"天","zh","Day / Sky","tiān"
"见","zh","To see / To meet","jiàn"
"六","zh","Six","liù"
"七","zh","Seven","qī"
"九","zh","Nine","jiǔ"
"泰语","zh","Thai language","tàiyǔ"
"阿拉伯语","zh","Arabic language","ālābóyǔ"
"德语","zh","German language","déyǔ"
"俄语","zh","Russian language","éyǔ"
"法语","zh","French language","fǎyǔ"
"韩国语","zh","Korean language","hánguóyǔ"
"日语","zh","Japanese language","rìyǔ"
"西班牙语","zh","Spanish language","xībānyáyǔ"
"英语","zh","English language","yīngyǔ"
"北京","zh","Beijing","běijīng"
