word,language,meaning,pronunciation
"下午","zh","Afternoon","xiàwǔ"
"上午","zh","Morning","shàngwǔ"
"图书馆","zh","Library","túshūguǎn"
"换","zh","To change / To exchange","huàn"
"小姐","zh","Miss / Young lady","xiǎojiě"
"营业员","zh","Clerk / Shop assistant","yíngyèyuán"
"人民币","zh","Renminbi (RMB)","rénmínbì"
"百","zh","Hundred","bǎi"
"千","zh","Thousand","qiān"
"万","zh","Ten thousand","wàn"
"美元","zh","US Dollar","měiyuán"
"泰铢","zh","Thai Baht","tàizhū"
"韩元","zh","Korean Won","hányuán"
"卢布","zh","Russian Ruble","lúbù"
"欧元","zh","Euro","ōuyuán"
"日元","zh","Japanese Yen","rìyuán"
"港币","zh","Hong Kong Dollar","gǎngbì"
"等","zh","To wait","děng"
"一会儿","zh","A little while / A moment","yíhuìr"
"先生","zh","Mr. / Gentleman / Husband","xiānsheng"
"数","zh","To count","shǔ"
