word,language,meaning,pronunciation
"办公室","zh","Office","bàngōngshì"
"办公","zh","To work (in an office)","bàngōng"
"找","zh","To look for / To seek","zhǎo"
"在","zh","To be at / In / On","zài"
"家","zh","Home / Family","jiā"
"呢","zh","(Modal particle indicating a state or location)","ne"
"住","zh","To live / To reside","zhù"
"号","zh","Number / Date","hào"
"楼","zh","Building / Floor","lóu"
"门","zh","Door / Gate","mén"
"零","zh","Zero","líng"
"房间","zh","Room","fángjiān"
"知道","zh","To know","zhīdào"
"电话","zh","Telephone","diànhuà"
"电","zh","Electricity","diàn"
"话","zh","Speech / Word","huà"
"号码","zh","Number (ID/Phone)","hàomǎ"
"手机","zh","Mobile phone","shǒujī"
"手","zh","Hand","shǒu"
