word,language,meaning,pronunciation
"中午","zh","Noon / Midday","zhōngwǔ"
"吃","zh","To eat","chī"
"饭","zh","Meal / Rice","fàn"
"食堂","zh","Canteen / Dining hall","shítáng"
"馒头","zh","Steamed bun","mántou"
"要","zh","To want / To need","yào"
"个","zh","(General measure word)","gè"
"米饭","zh","Cooked rice","mǐfàn"
"米","zh","Rice (uncooked)","mǐ"
"碗","zh","Bowl / (Measure word for bowls)","wǎn"
"鸡蛋","zh","Chicken egg","jīdàn"
"鸡","zh","Chicken","jī"
"蛋","zh","Egg","dàn"
"汤","zh","Soup","tāng"
"咖啡","zh","Coffee","kāfēi"
"啤酒","zh","Beer","píjiǔ"
"这些","zh","These","zhèxiē"
"些","zh","(Measure word for plural)","xiē"
"一些","zh","Some / A few","yìxiē"
"那些","zh","Those","nàxiē"
"饺子","zh","Dumpling","jiǎozi"
"包子","zh","Steamed stuffed bun","bāozi"
"面条儿","zh","Noodles","miàntiáor"
