word,language,meaning,pronunciation
"语言","zh","language","yǔyán"
"大学","zh","university","dàxué"
"怎么样","zh","how","zěnmeyàng"
"觉得","zh","to feel/think","juéde"
"语法","zh","grammar","yǔfǎ"
"听","zh","to listen","tīng"
"说","zh","to speak","shuō"
"比较","zh","relatively/to compare","bǐjiào"
"容易","zh","easy","róngyì"
"但是","zh","but","dànshì"
"读","zh","to read","dú"
"写","zh","to write","xiě"
"给","zh","to give","gěi"
"新","zh","new","xīn"
"同学","zh","classmate","tóngxué"
"同屋","zh","roommate","tóngwū"
"班","zh","class","bān"
